จังหวัด,ปี,ชาย (คน),หญิง (คน),รวม (คน)
เชียงราย,2539,8277,7561,15838
แม่ฮ่องสอน,2539,3440,3203,6643
นครสวรรค์,2539,7036,6844,13880
อุทัยธานี,2539,2423,2272,4695
กำแพงเพชร,2539,4462,4286,8748
ตาก,2539,5095,4837,9932
สุโขทัย,2539,3600,3416,7016
พิษณุโลก,2539,5852,5565,11417
พิจิตร,2539,3617,3485,7102
เพชรบูรณ์,2539,6207,6019,12226
ราชบุรี,2539,8029,7715,15744
กาญจนบุรี,2539,5676,5406,11082
สุพรรณบุรี,2539,5573,5305,10878
นครปฐม,2539,6263,6001,12264
สมุทรสาคร,2539,4877,4519,9396
สมุทรสงคราม,2539,1123,1022,2145
เพชรบุรี,2539,2728,2586,5314
ประจวบคีรีขันธ์,2539,3396,3227,6623
นครศรีธรรมราช,2539,12380,11439,23819
กระบี่,2539,3047,2912,5959
พังงา,2539,2136,1956,4092
ภูเก็ต,2539,2832,2865,5697
สุราษฎร์ธานี,2539,8026,7841,15867
ระนอง,2539,1368,1420,2788
ชุมพร,2539,3800,3686,7486
สงขลา,2539,12158,11281,23439
สตูล,2539,2459,2308,4767
ตรัง,2539,5939,5685,11624
พัทลุง,2539,3822,3691,7513
ปัตตานี,2539,6560,6408,12968
ยะลา,2539,5624,5376,11000
นราธิวาส,2539,6555,6181,12736
กรุงเทพมหานคร,2540,73194,68464,141658
สมุทรปราการ,2540,7176,6746,13922
นนทบุรี,2540,5637,5286,10923
ปทุมธานี,2540,3582,3338,6920
พระนครศรีอยุธยา,2540,5171,4904,10075
อ่างทอง,2540,1521,1454,2975
ลพบุรี,2540,4118,3900,8018
สิงห์บุรี,2540,1571,1496,3067
ชัยนาท,2540,1461,1380,2841
สระบุรี,2540,4773,4386,9159
ชลบุรี,2540,10296,9791,20087
ระยอง,2540,5013,4535,9548
จันทบุรี,2540,3668,3455,7123
ตราด,2540,1546,1392,2938
ฉะเชิงเทรา,2540,4329,4138,8467
ปราจีนบุรี,2540,3265,3117,6382
นครนายก,2540,1478,1375,2853
สระแก้ว,2540,3760,3602,7362
นครราชสีมา,2540,16030,15113,31143
บุรีรัมย์,2540,11260,10794,22054
สุรินทร์,2540,10150,9258,19408
ศรีสะเกษ,2540,10976,10248,21224
อุบลราชธานี,2540,11160,10601,21761
ยโสธร,2540,3816,3673,7489
ชัยภูมิ,2540,5975,5704,11679
อำนาจเจริญ,2540,2229,2219,4448
หนองบัวลำภู,2540,3621,3527,7148
ขอนแก่น,2540,14355,13725,28080
อุดรธานี,2540,8628,8089,16717
เลย,2540,3785,3434,7219
หนองคาย,2540,6839,6571,13410
มหาสารคาม,2540,5502,5251,10753
ร้อยเอ็ด,2540,7736,7510,15246
กาฬสินธุ์,2540,5345,5043,10388
สกลนคร,2540,7410,6952,14362
นครพนม,2540,4378,4359,8737
มุกดาหาร,2540,2415,2401,4816
เชียงใหม่,2540,5167,4993,10160
ลำพูน,2540,1325,1250,2575
ลำปาง,2540,4311,4234,8545
อุตรดิตถ์,2540,3033,2902,5935
แพร่,2540,2774,2758,5532
น่าน,2540,3387,3249,6636
พะเยา,2540,2263,2076,4339
เชียงราย,2540,7859,7638,15497
แม่ฮ่องสอน,2540,2129,2001,4130
นครสวรรค์,2540,6149,5906,12055
อุทัยธานี,2540,2177,2130,4307
กำแพงเพชร,2540,4150,3912,8062
ตาก,2540,4364,3954,8318
สุโขทัย,2540,3339,3204,6543
พิษณุโลก,2540,4155,3860,8015
พิจิตร,2540,3645,3499,7144
เพชรบูรณ์,2540,6004,5767,11771
ราชบุรี,2540,7528,7154,14682
กาญจนบุรี,2540,4626,4416,9042
สุพรรณบุรี,2540,5492,5260,10752
นครปฐม,2540,4699,4488,9187
สมุทรสาคร,2540,5113,4597,9710
สมุทรสงคราม,2540,1185,1155,2340
เพชรบุรี,2540,2806,2611,5417
ประจวบคีรีขันธ์,2540,3078,2976,6054
นครศรีธรรมราช,2540,11328,10786,22114
กระบี่,2540,3042,2867,5909
พังงา,2540,1955,1907,3862
ภูเก็ต,2540,2640,2498,5138
สุราษฎร์ธานี,2540,4557,4160,8717
ระนอง,2540,1459,1377,2836
ชุมพร,2540,3426,3253,6679
สงขลา,2540,9711,9375,19086
สตูล,2540,2124,1959,4083
ตรัง,2540,5232,5065,10297
พัทลุง,2540,3654,3379,7033
ปัตตานี,2540,7101,6897,13998
ยะลา,2540,4983,4824,9807
นราธิวาส,2540,6729,6592,13321
กรุงเทพมหานคร,2541,46329,42753,89082
สมุทรปราการ,2541,6935,6516,13451
นนทบุรี,2541,5208,4910,10118
ปทุมธานี,2541,3721,3510,7231
พระนครศรีอยุธยา,2541,4876,4638,9514
