จังหวัด,ปี,ชาย (คน),หญิง (คน),รวม (คน)
จังหวัดสมุทรสาคร,2539,4877,4519,9396
จังหวัดสมุทรสงคราม,2539,1123,1022,2145
จังหวัดเพชรบุรี,2539,2728,2586,5314
จังหวัดประจวบคีรีขันธ์,2539,3396,3227,6623
จังหวัดนครศรีธรรมราช,2539,12380,11439,23819
จังหวัดกระบี่,2539,3047,2912,5959
จังหวัดพังงา,2539,2136,1956,4092
จังหวัดภูเก็ต,2539,2832,2865,5697
จังหวัดสุราษฎร์ธานี,2539,8026,7841,15867
จังหวัดระนอง,2539,1368,1420,2788
จังหวัดชุมพร,2539,3800,3686,7486
จังหวัดสงขลา,2539,12158,11281,23439
จังหวัดสตูล,2539,2459,2308,4767
จังหวัดตรัง,2539,5939,5685,11624
จังหวัดพัทลุง,2539,3822,3691,7513
จังหวัดปัตตานี,2539,6560,6408,12968
จังหวัดยะลา,2539,5624,5376,11000
จังหวัดนราธิวาส,2539,6555,6181,12736
กรุงเทพมหานคร,2540,73194,68464,141658
จังหวัดสมุทรปราการ,2540,7176,6746,13922
จังหวัดนนทบุรี,2540,5637,5286,10923
จังหวัดปทุมธานี,2540,3582,3338,6920
จังหวัดพระนครศรีอยุธยา,2540,5171,4904,10075
จังหวัดอ่างทอง,2540,1521,1454,2975
จังหวัดลพบุรี,2540,4118,3900,8018
จังหวัดสิงห์บุรี,2540,1571,1496,3067
จังหวัดชัยนาท,2540,1461,1380,2841
จังหวัดสระบุรี,2540,4773,4386,9159
จังหวัดชลบุรี,2540,10296,9791,20087
จังหวัดระยอง,2540,5013,4535,9548
จังหวัดจันทบุรี,2540,3668,3455,7123
จังหวัดตราด,2540,1546,1392,2938
จังหวัดฉะเชิงเทรา,2540,4329,4138,8467
จังหวัดปราจีนบุรี,2540,3265,3117,6382
จังหวัดนครนายก,2540,1478,1375,2853
จังหวัดสระแก้ว,2540,3760,3602,7362
จังหวัดนครราชสีมา,2540,16030,15113,31143
จังหวัดบุรีรัมย์,2540,11260,10794,22054
จังหวัดสุรินทร์,2540,10150,9258,19408
จังหวัดศรีสะเกษ,2540,10976,10248,21224
จังหวัดอุบลราชธานี,2540,11160,10601,21761
จังหวัดยโสธร,2540,3816,3673,7489
จังหวัดชัยภูมิ,2540,5975,5704,11679
จังหวัดอำนาจเจริญ,2540,2229,2219,4448
จังหวัดหนองบัวลำภู,2540,3621,3527,7148
จังหวัดขอนแก่น,2540,14355,13725,28080
จังหวัดอุดรธานี,2540,8628,8089,16717
จังหวัดเลย,2540,3785,3434,7219
จังหวัดหนองคาย,2540,6839,6571,13410
จังหวัดมหาสารคาม,2540,5502,5251,10753
จังหวัดร้อยเอ็ด,2540,7736,7510,15246
จังหวัดกาฬสินธุ์,2540,5345,5043,10388
จังหวัดสกลนคร,2540,7410,6952,14362
จังหวัดนครพนม,2540,4378,4359,8737
จังหวัดมุกดาหาร,2540,2415,2401,4816
จังหวัดเชียงใหม่,2540,5167,4993,10160
จังหวัดลำพูน,2540,1325,1250,2575
จังหวัดลำปาง,2540,4311,4234,8545
จังหวัดอุตรดิตถ์,2540,3033,2902,5935
จังหวัดแพร่,2540,2774,2758,5532
จังหวัดน่าน,2540,3387,3249,6636
จังหวัดพะเยา,2540,2263,2076,4339
จังหวัดเชียงราย,2540,7859,7638,15497
จังหวัดแม่ฮ่องสอน,2540,2129,2001,4130
จังหวัดนครสวรรค์,2540,6149,5906,12055
จังหวัดอุทัยธานี,2540,2177,2130,4307
จังหวัดกำแพงเพชร,2540,4150,3912,8062
จังหวัดตาก,2540,4364,3954,8318
จังหวัดสุโขทัย,2540,3339,3204,6543
จังหวัดพิษณุโลก,2540,4155,3860,8015
จังหวัดพิจิตร,2540,3645,3499,7144
จังหวัดเพชรบูรณ์,2540,6004,5767,11771
จังหวัดราชบุรี,2540,7528,7154,14682
จังหวัดกาญจนบุรี,2540,4626,4416,9042
จังหวัดสุพรรณบุรี,2540,5492,5260,10752
จังหวัดนครปฐม,2540,4699,4488,9187
จังหวัดสมุทรสาคร,2540,5113,4597,9710
จังหวัดสมุทรสงคราม,2540,1185,1155,2340
จังหวัดเพชรบุรี,2540,2806,2611,5417
จังหวัดประจวบคีรีขันธ์,2540,3078,2976,6054
