ชัยนาท,35239.25487,29456.35981,27791.59087,28504.04899,31876.54282,35195.01807,36022.93186,36048.73361
อ่างทอง,25964,24356,24796,26434,28648,31109,31938,31657
ลพบุรี,94798.326,97248.57479,96518.96376,100740.7555,110341.1816,111034.4569,111356.8655,106171.0002
พระนครศรีอยุธยา,408122.9669,371109.3757,418339.5246,398904.129,405638.5021,417485.0027,405464.2705,398160.8629
กรุงเทพมหานคร,3956052.508,4204277.883,4467777.973,4781066.334,5071734.14,5408930.373,5705332.746,5270460.168
สมุทรปราการ,655860.0082,666002.9617,687473.1728,702885.3577,729738.6308,794895.0274,773586.4211,641628.378
ปทุมธานี,311773.4354,327782.0661,343397.4347,346440.0245,384509.8342,408432.5986,441360.5565,428278.0066
สมุทรสาคร,316510.2842,337029.31,343028.2732,355231.2103,386486.7903,406965.1727,416233.9031,407143.6838
นครปฐม,256230.1381,277113.4333,301553.1086,316633.147,329600.1429,350237.148,356955.5472,349925.5813
นนทบุรี,221843.4209,253335.7533,272336.4843,289477.4983,317215.2499,326421.8978,350021.5679,344981.6597
